numerator,1
"(13, -29)",(3484544052791467241963035960549557570542374240366532703750383*x+7791677372634336572867094367275399738616051365306779002399919)/2
"(13, -27)",-1068822364155578361180981769760829721616965629492005075279745*x-2389959462123907824247585010585373484668112555381294201280055
"(13, -25)",763267188636200795050841029979453922584443567502816799150600*x+1706717318785699977242695999804652881343813942434041153951240
"(13, -23)",1403853693601915296249677593233524363437476750001909706386220*x+3139112289358044191138570620116496398678212161730409940201220
"(13, -21)",1315125840711038569842383634214823233236801565620360705546537*x+2940710778796442601105259443292738867097010526746544393616769
"(13, -19)",(-352111935893802920306101164548956954852366243513251237284231*x-787346224347591500383163998568568093763873800775656135445033)/2
"(13, -17)",-118648851131928743079987007576406622030381932773299876570310*x-265306896583245538525411470826389694347261891690256155836590
"(13, -15)",10830221232976938686308317205512318067162335199413394764240*x+24217110888298012550799245817255001795604861826144806357040
"(13, -13)",-5331881951496982683123131142661771716031341629960732049695*x-11922450491548858603412122474914539236648272555047066942095
"(13, -11)",3061208579096757944785820813804512592424162768024915091607*x+6845070476375216957625698367244284812099061146746044060449
"(13, -9)",-191939866530705418817910656055903288486913117379387583792*x-429190587606640907498900386195700806243621146764041863216
"(13, -7)",180330647437648459186292268895140555230082672406328631400*x+403231634128166384365154736068357450730933906509361503000
"(13, -5)",-13133237497177905537124512532235327081231020606684730520*x-29365172894441028542034429844729691389651278632566717560
"(13, -3)",-63978665572812753205917841515555496756372513011958440*x-141138189119304471082795919023861072195842719330740440
"(13, -1)",-518749393655713437107520707103356914924346640161589038*x-997688263782957136433631354787060868040582351037377046
"(13, 1)",518749393655713437107520707103356914924346640161589038*x-997688263782957136433631354787060868040582351037377046
"(13, 3)",63978665572812753205917841515555496756372513011958440*x-141138189119304471082795919023861072195842719330740440
"(13, 5)",13133237497177905537124512532235327081231020606684730520*x-29365172894441028542034429844729691389651278632566717560
"(13, 7)",-180330647437648459186292268895140555230082672406328631400*x+403231634128166384365154736068357450730933906509361503000
"(13, 9)",191939866530705418817910656055903288486913117379387583792*x-429190587606640907498900386195700806243621146764041863216
"(13, 11)",-3061208579096757944785820813804512592424162768024915091607*x+6845070476375216957625698367244284812099061146746044060449
"(13, 13)",5331881951496982683123131142661771716031341629960732049695*x-11922450491548858603412122474914539236648272555047066942095
"(13, 15)",-10830221232976938686308317205512318067162335199413394764240*x+24217110888298012550799245817255001795604861826144806357040
"(13, 17)",118648851131928743079987007576406622030381932773299876570310*x-265306896583245538525411470826389694347261891690256155836590
"(13, 19)",(352111935893802920306101164548956954852366243513251237284231*x-787346224347591500383163998568568093763873800775656135445033)/2
"(13, 21)",-1315125840711038569842383634214823233236801565620360705546537*x+2940710778796442601105259443292738867097010526746544393616769
"(13, 23)",-1403853693601915296249677593233524363437476750001909706386220*x+3139112289358044191138570620116496398678212161730409940201220
"(13, 25)",-763267188636200795050841029979453922584443567502816799150600*x+1706717318785699977242695999804652881343813942434041153951240
"(13, 27)",1068822364155578361180981769760829721616965629492005075279745*x-2389959462123907824247585010585373484668112555381294201280055
"(13, 29)",(-3484544052791467241963035960549557570542374240366532703750383*x+7791677372634336572867094367275399738616051365306779002399919)/2
"(14, -30)",189030810739694338085998144150001750443017929090808474791980800*x+422685742655853843673883720913779298154363154163753163334419200
"(14, -28)",207387416226433712504157561574952457955634587324364078542085500*x+463732360360348699238663445082831272686440603645895050169941000
"(14, -26)",-11228023971293849730114397435240378703840760740497549984620800*x-25106624852810195330446774295814192144794198136467388245267200
"(14, -24)",-32948968443292863418846273918011073593428711982978036371472846*x-73676133227698267258785675068145972608526929433599413640505936
"(14, -22)",895569971308869361245656122641166234878387594746608071687680*x+2002555334454168198831403468642629298420321419783222579299840
"(14, -20)",1388908147429673798246452114423367311013926863136145174305200*x+3105693032156050421162660910108197022555052001289925631416200
"(14, -18)",1468449847050709909550355523172052352789847660619922558129920*x+3283553679554556445815726365446713889465643238198076505821440
"(14, -16)",-424168689512914171062257464752530141171164345546233505750574*x-948470023677879757105818701295558579552884097782215963282856
"(14, -14)",79828217874228765257641940544456899288708766143987712160000*x+178501321689399881646667313943992829305930052205604723360000
"(14, -12)",-15309585810024713104513129480450624369044121087242093947280*x-34233274578541784372866791622895334290895966378623771142240
"(14, -10)",-1573409422731931055912859657963910409901152702407034188800*x-3518250371055951443050637544404025823866717784815702297600
"(14, -8)",-1216227565840419035603277095642125437701705731133140194190*x-2719566477591440546728171920893861460894670089126777114080
"(14, -6)",-35850471126489858549341608724209069034161767249948806400*x-80142427180823809909032113991752203346368991916129081600
"(14, -4)",25986959826345108982512773498641264743191482214973524764*x+58173796087230055613303374630890375734576931720144440704
"(14, -2)",-8272554953495731812991952963774153999838927776558769920*x-17709479704388510113111928787202691853884604305390767360
"(14, 0)",-2566095814028976076111726033415685402250999797452790000
"(14, 2)",8272554953495731812991952963774153999838927776558769920*x-17709479704388510113111928787202691853884604305390767360
"(14, 4)",-25986959826345108982512773498641264743191482214973524764*x+58173796087230055613303374630890375734576931720144440704
"(14, 6)",35850471126489858549341608724209069034161767249948806400*x-80142427180823809909032113991752203346368991916129081600
"(14, 8)",1216227565840419035603277095642125437701705731133140194190*x-2719566477591440546728171920893861460894670089126777114080
"(14, 10)",1573409422731931055912859657963910409901152702407034188800*x-3518250371055951443050637544404025823866717784815702297600
"(14, 12)",15309585810024713104513129480450624369044121087242093947280*x-34233274578541784372866791622895334290895966378623771142240
"(14, 14)",-79828217874228765257641940544456899288708766143987712160000*x+178501321689399881646667313943992829305930052205604723360000
"(14, 16)",424168689512914171062257464752530141171164345546233505750574*x-948470023677879757105818701295558579552884097782215963282856
"(14, 18)",-1468449847050709909550355523172052352789847660619922558129920*x+3283553679554556445815726365446713889465643238198076505821440
"(14, 20)",-1388908147429673798246452114423367311013926863136145174305200*x+3105693032156050421162660910108197022555052001289925631416200
"(14, 22)",-895569971308869361245656122641166234878387594746608071687680*x+2002555334454168198831403468642629298420321419783222579299840
"(14, 24)",32948968443292863418846273918011073593428711982978036371472846*x-73676133227698267258785675068145972608526929433599413640505936
