"(v, u)","a(v, u)"
"(12, -18)","(3907708739143388138763447021521841911146448971155848170806647734440906029155669237772629339601459201280, 1747580475398921838552505008474419609590324411129434896655714233080422844701983920532519133221246876160)"
"(12, -16)","(-6841819939989905047385120236394032142476978306293310920405600073103265683703227933358270189146925539400, -3059754895126191898084464079790867416962272670549170266215262165704913920410667999815365417784092070400)"
"(12, -14)","(669650363278258455948986682916581184596078442372514988184207978380896717567293641838161342035698940568, 299476746689522965088025853039160390880918624292707905165620155843542758751825565145319149602800801472)"
"(12, -12)","(-24703173425154999771464272730306508137745217052171788603355142702457151664209715569215295461755440640, -11047595007722578559191794157852987073577060058648583054022642142627171132805147324595042983297925120)"
"(12, -10)","(1237205275988321978124433327588152186932134887025217760524498415453302619977726032313792707334323200, 553295019846255393601740390698914126866053348592314941605156796556666917962482574047092724805204480)"
"(12, -8)","(510087464927640016747070883783436187237123584616957822359744917068334425852054510209944769457087040, 228118049209807061235910466302673076468610617529792299273813475673981889326264186826971382590676480)"
"(12, -6)","(-53335498050445406780543439169044321907539253953636770428260428693939738785304546071950801326611200, -23852359834242494023346846085943198452740953251098360753480754883468465226974130964572938043251200)"
"(12, -4)","(-450718869181325734359185192400255508070429177850911116431841823899568971639707158436243509123232, -201565826600638026066273140780662581656397668246435198150965185320137844820839712646594982773248)"
"(12, -2)","(47065893494761738548532393346669506821618501456717912449879598244965595450115235169700342396280, 21064977231112810863677348672260069122516173611812441452072398956702203962303051538590210789440)"
"(12, 0)","(0, -1741774773295836924722260180977976376175141953121658134236253793993221290976006431444600832000)"
"(12, 2)","(-47065893494761738548532393346669506821618501456717912449879598244965595450115235169700342396280, 21064977231112810863677348672260069122516173611812441452072398956702203962303051538590210789440)"
"(12, 4)","(450718869181325734359185192400255508070429177850911116431841823899568971639707158436243509123232, -201565826600638026066273140780662581656397668246435198150965185320137844820839712646594982773248)"
"(12, 6)","(53335498050445406780543439169044321907539253953636770428260428693939738785304546071950801326611200, -23852359834242494023346846085943198452740953251098360753480754883468465226974130964572938043251200)"
"(12, 8)","(-510087464927640016747070883783436187237123584616957822359744917068334425852054510209944769457087040, 228118049209807061235910466302673076468610617529792299273813475673981889326264186826971382590676480)"
"(12, 10)","(-1237205275988321978124433327588152186932134887025217760524498415453302619977726032313792707334323200, 553295019846255393601740390698914126866053348592314941605156796556666917962482574047092724805204480)"
"(12, 12)","(24703173425154999771464272730306508137745217052171788603355142702457151664209715569215295461755440640, -11047595007722578559191794157852987073577060058648583054022642142627171132805147324595042983297925120)"
"(12, 14)","(-669650363278258455948986682916581184596078442372514988184207978380896717567293641838161342035698940568, 299476746689522965088025853039160390880918624292707905165620155843542758751825565145319149602800801472)"
"(12, 16)","(6841819939989905047385120236394032142476978306293310920405600073103265683703227933358270189146925539400, -3059754895126191898084464079790867416962272670549170266215262165704913920410667999815365417784092070400)"
"(12, 18)","(-3907708739143388138763447021521841911146448971155848170806647734440906029155669237772629339601459201280, 1747580475398921838552505008474419609590324411129434896655714233080422844701983920532519133221246876160)"
"(12, 20)","(-153588915896775286402087156817377857108306422725042297063588308656158941126006117090964021966737498931200, 68687051307137522627314813057494182958274190813992761627425051913814143229235275215540491956528113661440)"
"(12, 22)","(1486687810957720298214784350818690482866655527298065645442821218124663806426081747380799076674036356644840, -664867001324363861890949511478368881645047761253955436655823566354777420916155982852931274993653810957120)"
"(12, 24)","(1016251088389122949044844211383051991001540234494709470423287445509720179711206333145984706254645611923200, -454481303169245232883294190525107506984483301054953879888437964102754803621598802468123088347318603980800)"
"(12, 26)","(5177166214060060060561784296767067405548827498397217112291884682157889284886658530528886528876222511309768, -2315299117090704357300758986566157276639111674292725009339270871376229072107101821657928663195701845673408)"
"(13, -29)","(-217631663176732838368352188526692800136736501155557338506327182769024983525518434944667635198325452974271466, -97327838583902490845582420927570725503739966030664041151728689131830776871930158383767607567582170941418176)"
"(13, -27)","(-510955403600405753157037281090177626806267507355276092378567894757036565902828941603427056264055803524601620, -228506203184269610977018262067429703170118400101347834701275521386046813672537075955059207203062777124394240)"
"(13, -25)","(-358956500873761079915199423799536706407890648756426352650530110144283380224461189528747609186271180999232000, -160530227383838486188622328002380661421064981964558930380658405708041661568700902019361716383106267322599680)"
"(13, -23)","(-12795887860752100093767495561043707548209255724911585571523690680160882299934180859826800608828485861853680, -5722495017821211812876663385084609997008075494641821386385091697022833556195607409585230071116113934144640)"
"(13, -21)","(-4187279019985622017538195425579124964972336122940483282770044225492321623946531406048574992601495804997068, -1872608105889310260804481487326141856270196386346242924895870766045321931425059134955081993788442914890752)"
"(13, -19)","(-1709774892489870896861320637603259351163499867467631904843677769907230351643147102876133544900074723499398, -764634577165949196756281802352020362022718479667166990062944732177802285050156670584413446544800141942848)"
"(13, -17)","(217284337021116503932285855030783295988742620960959462488957004103846439447950950771946623064784531449640, 97172509605038132012686273853713797178542869519736891913039842717110295482226764956723570902271860415680)"
